Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 69.0.3497.92,,2018-09-15 15:47:58,2018-09-15 15:50:01,2m - 2.865s,PASSED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.92,Login with valid username and password and click on login button,2018-09-15 15:47:58,2018-09-15 15:48:14,15.990s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:47:59,2018-09-15 15:48:08,9.465s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 15:48:08,2018-09-15 15:48:09,0.321s,PASSED
setEncryptedText,Chrome 69.0.3497.92,,2018-09-15 15:48:09,2018-09-15 15:48:09,0.383s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 15:48:09,2018-09-15 15:48:14,5.158s,PASSED
verifyTextPresent,Chrome 69.0.3497.92,,2018-09-15 15:48:14,2018-09-15 15:48:14,0.178s,PASSED
,,,,,,
Test Cases/Login/PageLoad,Chrome 69.0.3497.92,Verify the page gets loaded succesfully.,2018-09-15 15:48:14,2018-09-15 15:48:25,10.370s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:48:15,2018-09-15 15:48:18,2.925s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:48:18,2018-09-15 15:48:24,5.995s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-15 15:48:24,2018-09-15 15:48:24,0.130s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:48:24,2018-09-15 15:48:25,0.977s,PASSED
,,,,,,
Test Cases/Login/SecurePageLoad,Chrome 69.0.3497.92,Verify the page gets loaded succesfully.,2018-09-15 15:48:25,2018-09-15 15:48:32,7.625s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:48:25,2018-09-15 15:48:27,2.196s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 15:48:27,2018-09-15 15:48:32,4.329s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-15 15:48:32,2018-09-15 15:48:32,0.048s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 15:48:32,2018-09-15 15:48:32,0.796s,PASSED
,,,,,,
